EnsemblGeneID	Description	ChromosomeName	AssociatedGeneName	GCcontent	GeneType
ENSG00000211974		14	IGHV2-70	53.08	IG_V_gene
ENSG00000279051		11	OR6Q1	50	polymorphic_pseudogene
ENSG00000265496		18	MIR1539	40.99	antisense
ENSG00000150076	coiled-coil domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26533]	10	CCDC7	37.18	protein_coding
ENSG00000206113	Cilia- and flagella-associated protein 99  [Source:UniProtKB/Swiss-Prot;Acc:D6REC4]	4	CFAP99	55.18	protein_coding
ENSG00000257613	long intergenic non-protein coding RNA 1481 [Source:HGNC Symbol;Acc:HGNC:51126]	12	LINC01481	38.26	lincRNA
ENSG00000257815	long intergenic non-protein coding RNA 1481 [Source:EntrezGene;Acc:101928062]	12	LINC01481	38.83	antisense
ENSG00000223704	long intergenic non-protein coding RNA 1422 [Source:HGNC Symbol;Acc:HGNC:50728]	22	LINC01422	41.93	lincRNA
ENSG00000280236	olfactory receptor family 12 subfamily D member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8178]	6	OR12D2	45.3	polymorphic_pseudogene
ENSG00000273259	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3 [Source:EntrezGene;Acc:12]	14	SERPINA3	49.31	protein_coding
ENSG00000270066	small Cajal body-specific RNA 2 [Source:EntrezGene;Acc:677766]	1	SCARNA2	65.81	lincRNA
ENSG00000227372	TP73 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:29052]	1	TP73-AS1	54.46	antisense
ENSG00000257391	microRNA 3180-4 [Source:HGNC Symbol;Acc:HGNC:38920]	16	MIR3180-4	51.65	lincRNA
ENSG00000279000	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15132]	11	OR10A6	40.49	polymorphic_pseudogene
ENSG00000225978	highly accelerated region 1A (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:33117]	20	HAR1A	64.57	lincRNA
ENSG00000263715	corticotropin releasing hormone receptor 1 [Source:EntrezGene;Acc:1394]	17	CRHR1	49.67	protein_coding
ENSG00000274827	long intergenic non-protein coding RNA 1297 [Source:HGNC Symbol;Acc:HGNC:50443]	14	LINC01297	42.96	lincRNA
ENSG00000257527		16	MIR3179-3	46.78	lincRNA
ENSG00000279012	olfactory receptor family 51 subfamily B member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14703]	11	OR51B2	43.09	polymorphic_pseudogene
ENSG00000279922	olfactory receptor family 5 subfamily H member 6 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14767]	3	OR5H6	37.53	polymorphic_pseudogene
ENSG00000196136	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3 [Source:HGNC Symbol;Acc:HGNC:16]	14	SERPINA3	50.9	protein_coding
ENSG00000268991	family with sequence similarity 231 member C [Source:HGNC Symbol;Acc:HGNC:49508]	1	FAM231C	56.86	protein_coding
ENSG00000270022		22	RNU12	49.25	lincRNA
ENSG00000187838	TMEM256-PLSCR3 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49186]	17	TMEM256-PLSCR3	58.45	protein_coding
